"lang"
{
	"Language"	"Polish"
		"xhs_sp_fragments_lower"                                                                       "fragmenty"
		"xhs_sp_achievements_eyebrow"                                                                  "Stałe dziedzictwo"
		"xhs_sp_achievements_title"                                                                    "Osiągnięcia XHS"
		"xhs_sp_achievements_intro"                                                                    "Zamień dekadę oblężeń w trwałe kamienie milowe.Zdobywaj fragmenty, buduj swój wynik osiągnięć i wyświetlaj wyczyny, które definiują Twoje konto."
		"xhs_sp_achievement_score"                                                                     "Wynik za osiągnięcia"
		"xhs_sp_achievement_record_holder"                                                             "Rekordzista Świata"
		"xhs_sp_achievement_record_worldwide"                                                          "Na całym świecie"
		"xhs_sp_achievement_record_value"                                                              "Nagraj"
		"xhs_sp_achievement_completion"                                                                "Ukończono"
		"xhs_sp_achievement_filter_all"                                                                "Wszystkie osiągnięcia"
		"xhs_sp_achievement_filter_progress"                                                           "W toku"
		"xhs_sp_achievement_filter_complete"                                                           "Ukończono"
		"xhs_sp_achievement_filter_coming"                                                             "Już wkrótce"
		"xhs_sp_achievement_rank_locked"                                                               "Zablokowane"
		"xhs_sp_achievement_rank_bronze"                                                               "Brąz"
		"xhs_sp_achievement_rank_silver"                                                               "Srebro"
		"xhs_sp_achievement_rank_gold"                                                                 "Złoto"
		"xhs_sp_achievement_rank_xhs"                                                                  "Absolut XHS"
		"xhs_sp_achievement_rank_absolute"                                                             "Osiągnięcie ukończone"
		"xhs_sp_achievement_secret"                                                                    "Za zasłoną czeka tajemnica."
		"xhs_sp_achievement_complete"                                                                  "Kompletny"
		"xhs_sp_achievement_unlocked"                                                                  "Osiągnięcie odblokowane"
		"xhs_sp_achievement_reveal_all"                                                                "Odkryj wszystko"
		"xhs_sp_achievement_remaining"                                                                 "{count} więcej osiągnięć czeka"
		"xhs_sp_achievement_coming_in"                                                                 "Wchodzę {release}"
		"xhs_sp_achievement_future_update"                                                             "przyszłą aktualizację"
		"xhs_sp_achievement_hero_complete"                                                             "Kompletny"
		"xhs_sp_achievement_requirements"                                                              "Wymagania"
		"xhs_sp_achievement_requirement_eligible"                                                      "Tylko kwalifikujące się mecze: brak botów XHS, kodów, trybu narzędzi, porzuceń i rozłączeń."
		"xhs_achievement_veteran_defender_title"                                                       "Doświadczony obrońca"
		"xhs_achievement_veteran_defender_description"                                                 "Kompletny X Hero Siege biegnie."
		"xhs_achievement_veteran_defender_requirement"                                                 "Zakończ X Hero Siege biegnij."
		"xhs_achievement_victory_march_title"                                                          "Marsz Zwycięstwa"
		"xhs_achievement_victory_march_description"                                                    "Wygraj X Hero Siege biegnie."
		"xhs_achievement_victory_march_requirement"                                                    "Wygraj X Hero Siege biegnij."
		"xhs_achievement_endless_horde_title"                                                          "Niekończąca się Horda"
		"xhs_achievement_endless_horde_description"                                                    "Przebij się przez najeźdźczą hordę."
		"xhs_achievement_endless_horde_requirement"                                                    "Pokonaj wrogie jednostki podczas X Hero Siege biegnie."
		"xhs_achievement_full_company_title"                                                           "Pełna firma"
		"xhs_achievement_full_company_description"                                                     "Wygraj z czterema lub większą liczbą ludzkich obrońców."
		"xhs_achievement_full_company_requirement"                                                     "Wygraj bieg."
		"xhs_achievement_full_company_requirement_2"                                                   "Miej w meczu co najmniej czterech ludzkich obrońców."
		"xhs_achievement_event_veteran_title"                                                          "Weteran wydarzeń"
		"xhs_achievement_event_veteran_description"                                                    "Realizuj wydarzenia specjalne w swoich kampaniach."
		"xhs_achievement_event_veteran_requirement"                                                    "Kompletny Muradin, Piekielny Mróz, Duchowa Bestia, Ramero & Baristollub Sogat wydarzenia."
		"xhs_achievement_all_hero_challenge_title"                                                     "Wyzwanie wszystkich bohaterów"
		"xhs_achievement_all_hero_challenge_description"                                               "Wygraj każdym grywalnym bohaterem XHS."
		"xhs_achievement_all_hero_challenge_requirement"                                               "Wygraj bieg każdym odrębnym grywalnym bohaterem XHS."
		"xhs_achievement_all_hero_challenge_requirement_2"                                             "Bohater liczy się dopiero po zwycięstwie tym bohaterem."
		"xhs_achievement_siege_ascendant_title"                                                        "Ascendent oblężniczy"
		"xhs_achievement_siege_ascendant_description"                                                  "Odnieś zwycięstwo w obliczu coraz bardziej brutalnych trudności."
		"xhs_achievement_siege_ascendant_requirement"                                                  "Wygraj bieg;wyższy poziom trudności wlicza się także do każdego niższego poziomu trudności."
		"xhs_achievement_siege_ascendant_requirement_2"                                                "Brąz: 10 zwycięstw na Normal • Srebro: 25 zwycięstw na Hard."
		"xhs_achievement_siege_ascendant_requirement_3"                                                "Złoto: 50 zwycięstw na Extreme • XHS Absolute: 100 zwycięstw na Divine."
		"xhs_achievement_the_ancient_stands_title"                                                     "Starożytne Stojaki"
		"xhs_achievement_the_ancient_stands_description"                                               "Wygraj, zachowując coraz doskonalsze zdrowie Starożytnych."
		"xhs_achievement_the_ancient_stands_requirement"                                               "Wygraj bieg."
		"xhs_achievement_the_ancient_stands_requirement_2"                                             "Ukończ z co najmniej 70% / 80% / 90% / 100% starożytnego zdrowia, aby uzyskać Brązowy / Srebrny / Złoty / XHS Absolute."
		"xhs_achievement_borrowed_time_title"                                                          "Pożyczony czas"
		"xhs_achievement_borrowed_time_description"                                                    "Wygraj na poziomie trudności Hard lub wyższym, nie ginąc."
		"xhs_achievement_borrowed_time_requirement"                                                    "Wygraj na poziomie trudności Hard lub wyższym."
		"xhs_achievement_borrowed_time_requirement_2"                                                  "Nie umieraj w trakcie biegu."
		"xhs_achievement_ahead_of_schedule_title"                                                      "Przed harmonogramem"
		"xhs_achievement_ahead_of_schedule_description"                                                "Wygraj poziom trudności Divine, zanim upłynie czas oblężenia."
		"xhs_achievement_ahead_of_schedule_requirement"                                                "Wygraj na poziomie trudności Divine."
		"xhs_achievement_ahead_of_schedule_requirement_2"                                              "Ukończ w ciągu 90/80/70/60 minut dla Brązu/Srebra/Złota/XHS Absolute."
		"xhs_achievement_one_against_the_siege_title"                                                  "Jeden przeciw oblężeniu"
		"xhs_achievement_one_against_the_siege_description"                                            "Wygraj samotnie od poziomu trudności Normal do poziomu trudności Divine."
		"xhs_achievement_one_against_the_siege_requirement"                                            "Bądź jedynym ludzkim obrońcą i wygraj bieg."
		"xhs_achievement_one_against_the_siege_requirement_2"                                          "Brąz: Normal • Srebro: Hard • Złoto: Extreme • Absolut XHS: Divine."
		"xhs_achievement_boss_breaker_title"                                                           "Łamacz Bossów"
		"xhs_achievement_boss_breaker_description"                                                     "Zadaj obrażenia X Hero Siege szefowie."
		"xhs_achievement_boss_breaker_requirement"                                                     "Zadawaj obrażenia bossom XHS."
		"xhs_achievement_lifebringer_title"                                                            "Przynoszący życie"
		"xhs_achievement_lifebringer_description"                                                      "Przywróć zdrowie obrońcom."
		"xhs_achievement_lifebringer_requirement"                                                      "Kumuluj samoleczenie podczas X Hero Siege biegnie."
		"xhs_achievement_centaurs_retaliation_title"                                                   "Odwet Centaura"
		"xhs_achievement_centaurs_retaliation_description"                                             "Znoś niemożliwą karę i pozostań w pozycji stojącej."
		"xhs_achievement_centaurs_retaliation_requirement"                                             "Gromadź obrażenia otrzymane podczas X Hero Siege biegnie."
		"xhs_achievement_harvest_of_war_title"                                                         "Żniwa wojny"
		"xhs_achievement_harvest_of_war_description"                                                   "Pokonuj wrogów podczas wydarzenia na farmie."
		"xhs_achievement_harvest_of_war_requirement"                                                   "Pokonuj wrogów podczas wydarzenia na farmie."
		"xhs_achievement_tome_scholar_title"                                                           "Uczony Tom"
		"xhs_achievement_tome_scholar_description"                                                     "Gromadź trwałe atrybuty poprzez tomy."
		"xhs_achievement_tome_scholar_requirement"                                                     "Zdobądź trwałe atrybuty z tomów."
		"xhs_achievement_first_victory_title"                                                          "Pierwsze zwycięstwo"
		"xhs_achievement_first_victory_description"                                                    "Wygraj swój pierwszy kwalifikujący się X Hero Siege biegnij."
		"xhs_achievement_first_victory_requirement"                                                    "Wygraj jeden kwalifikujący się X Hero Siege biegnij."
		"xhs_achievement_muradins_trial_title"                                                         "MuradinPróba"
		"xhs_achievement_muradins_trial_description"                                                   "Przetrwać Muradinwyzwanie."
		"xhs_achievement_muradins_trial_requirement"                                                   "Przetrwać Muradinwyzwanie."
		"xhs_achievement_frost_infernal_title"                                                         "Piekielny Mróz"
		"xhs_achievement_frost_infernal_description"                                                   "Pokonaj Lodowego Piekielnego."
		"xhs_achievement_frost_infernal_requirement"                                                   "Pokonaj Lodowego Piekielnego."
		"xhs_achievement_spirit_beast_title"                                                           "Duchowa Bestia"
		"xhs_achievement_spirit_beast_description"                                                     "Pokonaj Duchową Bestię."
		"xhs_achievement_spirit_beast_requirement"                                                     "Pokonaj Duchową Bestię."
		"xhs_achievement_ramero_baristol_title"                                                        "Ramero & Baristol"
		"xhs_achievement_ramero_baristol_description"                                                  "Panuj w Ramero i Baristolarena."
		"xhs_achievement_ramero_baristol_requirement"                                                  "Wygraj Ramero i Baristolarena."
		"xhs_achievement_sogats_fall_title"                                                            "SogatUpadek"
		"xhs_achievement_sogats_fall_description"                                                      "Porażka Sogat."
		"xhs_achievement_sogats_fall_requirement"                                                      "Porażka Sogat."
		"xhs_achievement_hellscream_silenced_title"                                                    "Hellscream Wyciszony"
		"xhs_achievement_hellscream_silenced_description"                                              "Ucisz prawdę Hellscream na dobre."
		"xhs_achievement_hellscream_silenced_requirement"                                              "Pokonaj prawdę Hellscream."
		"xhs_achievement_pit_lord_falls_title"                                                         "Upadek Pit Lorda"
		"xhs_achievement_pit_lord_falls_description"                                                   "Pokonaj Pit Lorda."
		"xhs_achievement_pit_lord_falls_requirement"                                                   "Pokonaj Pit Lorda."
		"xhs_achievement_four_stand_as_one_title"                                                      "Cztery stoją jako jeden"
		"xhs_achievement_four_stand_as_one_description"                                                "Wygraj z co najmniej czterema ludzkimi obrońcami."
		"xhs_achievement_four_stand_as_one_requirement"                                                "Wygraj bieg."
		"xhs_achievement_four_stand_as_one_requirement_2"                                              "Miej w meczu co najmniej czterech ludzkich obrońców."
		"xhs_achievement_perfect_campaign_title"                                                       "Doskonała kampania"
		"xhs_achievement_perfect_campaign_description"                                                 "Osiągnij wszystkie wymagane cele kampanii."
		"xhs_achievement_perfect_campaign_requirement"                                                 "Osiągnij wszystkie wymagane cele kampanii."
		"xhs_achievement_perfect_campaign_requirement_2"                                               "Wygraj bieg."
		"xhs_achievement_no_one_falls_title"                                                           "Nikt nie spada"
		"xhs_achievement_no_one_falls_description"                                                     "Wygraj bez śmierci żadnego ludzkiego gracza."
		"xhs_achievement_no_one_falls_requirement"                                                     "Wygraj bieg."
		"xhs_achievement_no_one_falls_requirement_2"                                                   "Żaden ludzki obrońca nie może umrzeć."
		"xhs_achievement_power_unspent_title"                                                          "Niewykorzystana moc"
		"xhs_achievement_power_unspent_description"                                                    "Wygraj bez osobistego spożywania tomu lub mikstury."
		"xhs_achievement_power_unspent_requirement"                                                    "Wygraj bieg."
		"xhs_achievement_power_unspent_requirement_2"                                                  "Nie używaj osobiście żadnego tomu ani mikstury."
		"xhs_achievement_see_through_the_lie_title"                                                    "Przejrzyj kłamstwo"
		"xhs_achievement_see_through_the_lie_description"                                              "Pokonaj prawdę Hellscream bez uszkadzania pojedynczego klonu."
		"xhs_achievement_see_through_the_lie_requirement"                                              "Pokonaj prawdę Hellscream i wygraj bieg."
		"xhs_achievement_see_through_the_lie_requirement_2"                                            "Nie uszkadzaj fałszywego klona."
		"xhs_achievement_sealed_supplies_title"                                                        "Zapieczętowane dostawy"
		"xhs_achievement_sealed_supplies_description"                                                  "Ukończ kampanię, nie otwierając jej zapasów materiałów eksploatacyjnych."
		"xhs_achievement_sealed_supplies_requirement"                                                  "Ukończ i wygraj pełną kampanię."
		"xhs_achievement_sealed_supplies_requirement_2"                                                "Żaden ludzki obrońca nie może używać rezerwowego sprzętu eksploatacyjnego."
		"xhs_achievement_old_school_defender_title"                                                    "Obrońca starej szkoły"
		"xhs_achievement_old_school_defender_description"                                              "Ukończ powracającą kampanię klasyczną."
		"xhs_achievement_old_school_defender_requirement"                                              "Ukończ kampanię klasyczną po jej powrocie w wersji 4.1."
		"xhs_achievement_classic_perfection_title"                                                     "Klasyczna doskonałość"
		"xhs_achievement_classic_perfection_description"                                               "Opanuj powracającą kampanię klasyczną."
		"xhs_achievement_classic_perfection_requirement"                                               "Opanuj kampanię klasyczną po jej powrocie w wersji 4.1."
		"xhs_achievement_against_the_clock_title"                                                      "Przeciwko zegarowi"
		"xhs_achievement_against_the_clock_description"                                                "Ukończ próbę czasową."
		"xhs_achievement_against_the_clock_requirement"                                                "Ukończ próbę czasową po pojawieniu się trybu w wersji 4.1."
		"xhs_achievement_clockbreaker_title"                                                           "Łamacz zegarów"
		"xhs_achievement_clockbreaker_description"                                                     "Opanuj jazdę na czas XHS."
		"xhs_achievement_clockbreaker_requirement"                                                     "Opanuj jazdę na czas po pojawieniu się trybu w wersji 4.1."
		"xhs_achievement_second_oath_title"                                                            "Druga przysięga"
		"xhs_achievement_second_oath_description"                                                      "Ponownie przywróć poległych do służby."
		"xhs_achievement_second_oath_requirement"                                                      "Skorzystaj z funkcji powracającego ożywienia, gdy pojawi się ona w wersji 4.3."
		"xhs_achievement_divine_pedestal_title"                                                        "Boski piedestał"
		"xhs_achievement_divine_pedestal_description"                                                  "Za zamarzniętą zasłoną na godnych czeka coś starożytnego."
		"xhs_achievement_divine_pedestal_requirement"                                                  "Udowodnij, że jesteś godny poza zamarzniętą zasłoną w 4.3."
		"xhs_sp_daily_cap"                                                                             "Czapka dzienna"
		"xhs_sp_daily_earnings"                                                                        "Codzienne fragmenty (rozgrywka + potencjał misji)"
		"xhs_sp_xp_boost"                                                                              "Zwiększenie XP"
		"xhs_sp_vote_power"                                                                            "Moc głosu"
		"xhs_sp_vote"                                                                                  "{count} głosuj"
		"xhs_sp_votes"                                                                                 "{count} głosów"
		"xhs_sp_supporter_tiers"                                                                       "Poziomy zwolenników"
		"xhs_sp_supporter_tiers_note"                                                                  "Fragmenty miesięczne + kolor tożsamości + moc głosowania przy konfiguracji"
		"xhs_sp_season_rewards"                                                                        "Nagrody sezonowe"
		"xhs_sp_season_rewards_note"                                                                   "50 darmowych nagród i 50 nagród dla Supportera"
		"xhs_sp_fragment_shop"                                                                         "Sklep z fragmentami"
		"xhs_sp_featured_rotation"                                                                     "Polecana rotacja"
		"xhs_sp_armory"                                                                                "Zbrojownia"
		"xhs_sp_armory_note"                                                                           "Odblokowane kosmetyki"
		"xhs_sp_settings"                                                                              "Ustawienia"
		"xhs_sp_settings_note"                                                                         "Widoczność i kosmetyka"
		"xhs_sp_unsaved_changes"                                                                       "Niezapisane zmiany"
		"xhs_sp_saving_settings"                                                                       "Zapisuję ustawienia..."
		"xhs_sp_cancel"                                                                                "Anuluj"
		"xhs_sp_save"                                                                                  "Zapisz"
		"xhs_sp_done"                                                                                  "Gotowe."
		"xhs_sp_action_failed"                                                                         "Akcja nie powiodła się."
		"xhs_sp_action_timeout"                                                                        "Upłynął limit czasu żądania."
		"xhs_sp_current_tier"                                                                          "Aktualny poziom"
		"xhs_sp_already_have_tier"                                                                     "Masz już ten poziom"
		"xhs_sp_active_on_account"                                                                     "Aktywny na Twoim koncie"
		"xhs_sp_support_on_patreon"                                                                    "Wsparcie włączone Patreon"
		"xhs_sp_premium_cta_eyebrow"                                                                   "Utwór premium"
		"xhs_sp_premium_cta_copy"                                                                      "Odblokuj 50 dodatkowych nagród i stałe zwiększenie PD."
		"xhs_sp_premium_cta_button"                                                                    "Zostań zwolennikiem"
		"xhs_sp_free_track"                                                                            "Bezpłatny utwór"
		"xhs_sp_supporter_track"                                                                       "Tor kibica"
		"xhs_sp_reward"                                                                                "Nagroda"
		"xhs_sp_legacy_reward"                                                                         "Nagroda za dziedzictwo"
		"xhs_sp_claim"                                                                                 "Roszczenie"
		"xhs_sp_claimed"                                                                               "Zgłoszono"
		"xhs_sp_unlocked"                                                                              "Odblokowany"
		"xhs_sp_locked"                                                                                "Zablokowane"
		"xhs_sp_pending"                                                                               "Oczekujące..."
		"xhs_sp_no_rewards_track"                                                                      "Nie skonfigurowano jeszcze żadnych nagród dla tej ścieżki."
		"xhs_sp_shop_item"                                                                             "Kup przedmiot"
		"xhs_sp_common"                                                                                "Powszechne"
		"xhs_sp_uncommon"                                                                              "Niezbyt często"
		"xhs_sp_rare"                                                                                  "Rzadkie"
		"xhs_sp_mythical"                                                                              "Mityczny"
		"xhs_sp_legendary"                                                                             "Legendarny"
		"xhs_sp_immortal"                                                                              "Nieśmiertelny"
		"xhs_sp_arcana"                                                                                "Arkana"
		"xhs_sp_equipped"                                                                              "Wyposażony"
		"xhs_sp_equip"                                                                                 "Wyposaż"
		"xhs_sp_buy"                                                                                   "Kup"
		"xhs_sp_shop_unavailable"                                                                      "Sklep niedostępny"
		"xhs_sp_shop_unavailable_body"                                                                 "Katalog Fragment Shop nie został jeszcze wysłany przez backend."
		"xhs_sp_no_shop_items"                                                                         "Brak artykułów w sklepie"
		"xhs_sp_no_shop_items_body"                                                                    "Żaden przedmiot ze Sklepu Fragmentów nie pasuje do tej kategorii."
		"xhs_sp_filter_all"                                                                            "Wszystko"
		"xhs_sp_no_cosmetics"                                                                          "Brak odblokowanych kosmetyków"
		"xhs_sp_no_cosmetics_body"                                                                     "Odblokuj elementy kosmetyczne poprzez Przepustkę Wspierającego lub Sklep z Fragmentami, a następnie wyposaż je tutaj."
		"xhs_sp_no_armory_items"                                                                       "Żadnych elementów zbrojowni"
		"xhs_sp_no_armory_items_body"                                                                  "Żadne odblokowane kosmetyki nie pasują do tej kategorii."
		"xhs_sp_type_teleport"                                                                         "Efekty teleportacji"
		"xhs_sp_type_tome"                                                                             "Efekty Wniebowstąpienia"
		"xhs_sp_type_kill"                                                                             "Zabij FX"
		"xhs_sp_type_emblem"                                                                           "Godło"
		"xhs_sp_type_companion"                                                                        "Towarzysz"
		"xhs_sp_type_effigy"                                                                           "Podobizna"
		"xhs_sp_type_potion"                                                                           "Efekty mikstury"
		"xhs_sp_type_rebirth"                                                                          "Efekty odrodzenia"
		"xhs_sp_type_attack_lifesteal"                                                                 "Atak Kradzież życia"
		"xhs_sp_type_spell_lifesteal"                                                                  "Zaklęcie Kradzież życia"
		"xhs_sp_type_regen_aura"                                                                       "Aura regeneracji"
		"xhs_sp_type_immolation"                                                                       "Ofiara"
		"xhs_sp_type_high_five"                                                                        "Przybij piątkę"
		"xhs_sp_type_title"                                                                            "Tytuł"
		"xhs_sp_type_fragments"                                                                        "Fragmenty"
		"xhs_sp_type_bundle"                                                                           "Pakiet"
		"xhs_sp_type_cosmetic"                                                                         "Kosmetyk"
		"xhs_sp_composition_potion"                                                                    "Zdrowie + Mana + Światło"
		"xhs_sp_composition_immolation"                                                                "Właściciel + Cele"
		"xhs_sp_composition_high_five"                                                                 "Nad głową + podróż + wpływ"
		"xhs_sp_track_reward_count"                                                                    "{track} · {count}/{total} nagrody"
		"xhs_sp_accept"                                                                                "Zaakceptuj"
		"xhs_sp_setting_tag"                                                                           "Etykieta wspierająca"
		"xhs_sp_setting_tag_desc"                                                                      "Wyświetl swoją odznakę kibica nad paskiem zdrowia bohatera."
		"xhs_sp_setting_cosmetics"                                                                     "Nagrody kosmetyczne"
		"xhs_sp_setting_cosmetics_desc"                                                                "Włącz lub wyłącz elementy kosmetyczne wyposażonej przepustki w grze."
		"xhs_sp_setting_xp"                                                                            "Widoczność XP"
		"xhs_sp_setting_xp_desc"                                                                       "Pokazuj sezonowe i konta XP w interfejsach społecznościowych."
		"xhs_sp_setting_winrate"                                                                       "Widoczność współczynnika wygranych"
		"xhs_sp_setting_winrate_desc"                                                                  "Pokaż swój sezonowy współczynnik wygranych na powierzchniach profili publicznych."
		"xhs_sp_disable_companion_desc"                                                                "Usuń swojego obecnego towarzysza wspierającego na ten mecz."
		"xhs_sp_disable"                                                                               "Wyłącz"
		"xhs_sp_companion_disabled"                                                                    "Towarzysz wyłączony."
		"xhs_sp_settings_timeout"                                                                      "Upłynął limit czasu zapisywania ustawień."
		"xhs_sp_purchase_pending"                                                                      "Oczekiwanie na zakup Przepustki Wspieracza..."
		"xhs_sp_already_owned"                                                                         "Już posiadane."
		"xhs_sp_purchase_complete"                                                                     "Zakup ukończony."
		"xhs_sp_purchase_failed"                                                                       "Zakup nie powiódł się."
		"xhs_sp_buy_another"                                                                           "Kup inny"
		"xhs_sp_purchase_duplicate_warning"                                                            "Masz już ten przedmiot.Kliknij Kup ponownie, aby potwierdzić kolejną kopię, którą możesz podarować."
		"xhs_sp_bundle_duplicate_warning"                                                              "Masz już część tego pakietu.Zostanie pobrana jego pełna cena, a każdy zawarty przedmiot zostanie ponownie przyznany.Kliknij Kup ponownie, aby potwierdzić."
		"xhs_sp_duplicate_purchase_complete"                                                           "Zakup ukończony.Dodano kolejny egzemplarz, który można podarować."
		"xhs_sp_open_bundle"                                                                           "Otwórz pakiet"
		"xhs_sp_bundle_opened"                                                                         "Pakiet otwarty.Jego przedmioty znajdują się teraz w Twojej Zbrojowni."
		"xhs_sp_bundle_open_failed"                                                                    "Otwarcie pakietu nie powiodło się."
		"xhs_sp_reward_already_claimed"                                                                "Nagroda już odebrana."
		"xhs_sp_reward_claimed"                                                                        "Nagroda odebrana."
		"xhs_sp_reward_claim_failed"                                                                   "Odbiór nagrody nie powiódł się."
		"xhs_sp_cosmetic_equipped"                                                                     "Kosmetyk wyposażony."
		"xhs_sp_equip_failed"                                                                          "Wyposażenie nie powiodło się."
		"xhs_sp_cosmetic_unequipped"                                                                   "Kosmetyk bez wyposażenia."
		"xhs_sp_unequip_failed"                                                                        "Nieuzbrojenie nie powiodło się."
		"xhs_sp_settings_failed"                                                                       "Zapisanie ustawień nie powiodło się."
		"xhs_sp_error_companion_unavailable"                                                           "Towarzysz jest niedostępny."
		"xhs_sp_error_effigy_unavailable"                                                              "Podobizna nie jest dostępna."
		"xhs_sp_error_shop_unavailable"                                                                "Sklep z fragmentami jest niedostępny."
		"xhs_sp_error_shop_item_invalid"                                                               "Artykuł w sklepie jest nieprawidłowy."
		"xhs_sp_error_shop_item_inactive"                                                              "Przedmiot ze sklepu nie znajduje się w aktywnej rotacji."
		"xhs_sp_error_reward_backend_unavailable"                                                      "Usługa nagród jest niedostępna."
		"xhs_sp_error_reward_invalid"                                                                  "Nagroda jest nieważna."
		"xhs_sp_error_reward_not_claimable"                                                            "Nagroda nie podlega odbiorowi."
		"xhs_sp_error_armory_item_invalid"                                                             "Przedmiot zbrojowni jest nieprawidłowy."
		"xhs_sp_error_armory_item_not_owned"                                                           "Przedmiot zbrojowni nie jest własnością."
		"xhs_sp_error_armory_slot_mismatch"                                                            "Miejsce w zbrojowni nie pasuje do tego przedmiotu."
		"xhs_sp_error_armory_tier_insufficient"                                                        "Twój poziom Supportera jest za niski dla tego przedmiotu."
		"xhs_sp_error_armory_backend_unavailable"                                                      "Usługa zbrojowni jest niedostępna."
		"xhs_sp_topbar_tooltip"                                                                        "Otwórz przepustkę kibica"
		"xhs_sp_topbar_cta_title"                                                                      "Przepustka kibica jest dostępna na żywo"
		"xhs_sp_topbar_cta_body"                                                                       "Odblokuj nagrody i wyposaż swojego kibica w kosmetyki."
		"xhs_sp_topbar_cta_action"                                                                     "Przeglądaj teraz"
		"xhs_sp_settings_saved"                                                                        "Ustawienia zostały zapisane."
		"xhs_sp_dev_stop_test"                                                                         "Zatrzymaj test"
		"xhs_sp_dev_claim_local"                                                                       "Złóż wniosek lokalnie"
		"xhs_sp_dev_claimed_local"                                                                     "Reklamacja lokalna"
		"xhs_sp_dev_reward_claimed_local"                                                              "Nagroda odebrana lokalnie · zaplecze niezmienione."
		"xhs_sp_dev_test_teleport"                                                                     "Przetestuj TP"
		"xhs_sp_dev_test_fx"                                                                           "Testuj efekty"
		"xhs_sp_dev_test_kill"                                                                         "Zabij testowo"
		"xhs_sp_dev_test_potion"                                                                       "Mikstura testowa"
		"xhs_sp_dev_test_rebirth"                                                                      "Testowe odrodzenie"
		"xhs_sp_dev_test_attack_lifesteal"                                                             "Testuj kradzież ataku"
		"xhs_sp_dev_test_spell_lifesteal"                                                              "Testuj kradzież zaklęć"
		"xhs_sp_dev_test_high_five"                                                                    "Testuj piątkę"
		"xhs_sp_dev_test_preview"                                                                      "Podgląd"
		"xhs_sp_dev_test_active_button"                                                                "Aktywny"
		"xhs_sp_dev_test_pending_button"                                                               "Testowanie..."
		"xhs_sp_dev_test_unsupported"                                                                  "Nieobsługiwane"
		"xhs_sp_dev_test_ready"                                                                        "Gotowy do przetestowania"
		"xhs_sp_dev_test_type_unsupported"                                                             "Nieobsługiwany typ nagrody"
		"xhs_sp_dev_test_pending"                                                                      "Oczekujące żądanie testu"
		"xhs_sp_dev_test_stopping"                                                                     "Przywracanie prawdziwego wyposażenia"
		"xhs_sp_dev_test_active"                                                                       "Tymczasowa nagroda aktywna"
		"xhs_sp_dev_test_success"                                                                      "Test nagrody zakończony."
		"xhs_sp_dev_test_stopped"                                                                      "Tymczasowa nagroda zatrzymana."
		"xhs_sp_dev_test_error_forbidden"                                                              "Testy z nagrodami wymagają konta programisty w Narzędziach warsztatu."
		"xhs_sp_dev_test_error_rate"                                                                   "Poczekaj przed rozpoczęciem kolejnego testu z nagrodą."
		"xhs_sp_dev_test_error_busy"                                                                   "Poczekaj na zakończenie bieżącego testu nagrody."
		"xhs_sp_dev_test_error_item"                                                                   "Nagroda lub miejsce jest nieprawidłowe."
		"xhs_sp_dev_test_error_hero"                                                                   "Brak dostępnego prawidłowego bohatera programisty."
		"xhs_sp_dev_test_error_asset"                                                                  "Nagroda nie ma prawidłowego zasobu wykonawczego."
		"xhs_sp_dev_test_error_respawn"                                                                "Punkt odrodzenia sojusznika jest niedostępny."
		"xhs_sp_dev_test_error_target"                                                                 "Nie można utworzyć celu testowego Kill FX."
		"xhs_sp_dev_test_error_type"                                                                   "Tego rodzaju nagrody nie można przetestować."
		"xhs_sp_dev_test_error_timeout"                                                                "Upłynął limit czasu żądania testowego."
		"xhs_sp_tier_1_label"                                                                          "Poziom 1"
		"xhs_sp_tier_2_label"                                                                          "Poziom 2"
		"xhs_sp_tier_3_label"                                                                          "Poziom 3"
		"xhs_sp_tier_4_label"                                                                          "Poziom 4"
		"xhs_sp_tier_5_label"                                                                          "Poziom 5"
		"xhs_sp_tier_1_name"                                                                           "Darczyńca"
		"xhs_sp_tier_2_name"                                                                           "Złoty Darczyńca"
		"xhs_sp_tier_3_name"                                                                           "Donator Żaru"
		"xhs_sp_tier_4_name"                                                                           "Donator Kamiennej Straży"
		"xhs_sp_tier_5_name"                                                                           "Darczyńca Strażnika Ziemi"
		"xhs_sp_tier_1_description"                                                                    "Zacznij wspierać XHS miesięcznymi fragmentami, tożsamością Emerald, a Discord rola, widoczny prestiż profilu i 2 głosy w konfiguracji gry."
		"xhs_sp_tier_2_description"                                                                    "Uaktualnij do Solar Gold, aby uzyskać silniejszy miesięczny pakiet fragmentów, szybszy postęp, 3 głosy na konfigurację i wszystkie korzyści poziomu 1."
		"xhs_sp_tier_3_description"                                                                    "Wyróżnij się stylizacją Ember Red, 900 fragmentami co miesiąc, 4 głosami na konfiguracje i wyraźniejszą obecnością kibiców w każdej przestrzeni XHS."
		"xhs_sp_tier_4_description"                                                                    "Zablokuj status Storm Blue dzięki najwyższemu zastrzykowi PD, 1800 miesięcznym fragmentom, 5 głosom na konfigurację i wyglądowi kibica premium."
		"xhs_sp_tier_5_description"                                                                    "Poziom prestiżowy dla głównych zwolenników: tożsamość Ametyst, najwyższe zwiększenie PD, 5 głosów konfiguracyjnych i pełny stos zwolenników."
		"xhs_sp_perk_150_fragments"                                                                    "150 fragmentów"
		"xhs_sp_perk_400_fragments"                                                                    "400 fragmentów"
		"xhs_sp_perk_900_fragments"                                                                    "900 fragmentów"
