"lang"
{
	"Language"	"Turkish"
		"DOTA_Tooltip_ability_item_preserved_skull_required_level"                                        "GEREKLİ SEVİYE:"
		"DOTA_Tooltip_ability_item_preserved_skull_bonus_intelligence"                                    "BONUS ZEKA:"
		"DOTA_Tooltip_ability_item_preserved_skull_cooldown_reduction_pct"                                "BEKLEME SÜRESİ %AZALMASI:"
		"DOTA_Tooltip_ability_item_preserved_skull_aura_mana_regen"                                       "AURA MANA YENİLENMESİ:"
		"DOTA_Tooltip_ability_item_preserved_skull_radius"                                                "YARIÇAP:"
		"DOTA_Tooltip_ability_item_treads_of_ermacor"                                                     "Ermacor'un Adımları"
		"DOTA_Tooltip_ability_item_treads_of_ermacor_Description"                                         "<h1><font color='#FF7800'>Pasif:</font></h1> Listelenen bonuslara sahip bir zindan ödül öğesi.Seviye gerektirir %required_level%."
		"DOTA_Tooltip_ability_item_treads_of_ermacor_required_level"                                      "GEREKLİ SEVİYE:"
		"DOTA_Tooltip_ability_item_treads_of_ermacor_bonus_movement_speed"                                "FAZLADAN HAREKET HIZI:"
		"DOTA_Tooltip_ability_item_treads_of_ermacor_bonus_attack_speed"                                  "FAZLA SALDIRI HIZI:"
		"DOTA_Tooltip_ability_item_treads_of_ermacor_bonus_all_stats"                                     "BONUS TÜM İSTATİSTİKLER:"
		"DOTA_Tooltip_ability_item_rhyziks_eye"                                                           "Rhyzik'in Gözü"
		"DOTA_Tooltip_ability_item_rhyziks_eye_Description"                                               "<h1><font color='#FF7800'>Pasif:</font></h1> Listelenen bonuslara sahip bir zindan ödül öğesi.Seviye gerektirir %required_level%."
		"DOTA_Tooltip_ability_item_rhyziks_eye_required_level"                                            "GEREKLİ SEVİYE:"
		"DOTA_Tooltip_ability_item_rhyziks_eye_bonus_damage_pct"                                          "%BONUS HASAR:"
		"DOTA_Tooltip_ability_item_rhyziks_eye_damage_reduction"                                          "% HASAR AZALTILMASI:"
		"DOTA_Tooltip_ability_item_rhyziks_eye_hp_regen_sec"                                              "SAĞLIK YENİLENMESİ:"
		"DOTA_Tooltip_ability_item_rhyziks_eye_mana_regen_sec"                                            "MANA YENİLENMESİ:"
		"DOTA_Tooltip_ability_item_rhyziks_eye_bonus_all_stats"                                           "BONUS TÜM İSTATİSTİKLER:"
		"DOTA_Tooltip_ability_item_guardian_shell"                                                        "Koruyucu Kabuk"
		"DOTA_Tooltip_ability_item_guardian_shell_Description"                                            "<h1><font color='#FF7800'>Pasif:</font></h1> Listelenen bonuslara sahip bir zindan ödül öğesi.Seviye gerektirir %required_level%."
		"DOTA_Tooltip_ability_item_guardian_shell_required_level"                                         "GEREKLİ SEVİYE:"
		"DOTA_Tooltip_ability_item_guardian_shell_bonus_armor"                                            "BONUS ZIRH:"
		"DOTA_Tooltip_ability_item_guardian_shell_magic_resistance"                                       "%BÜYÜ DİRENCİ:"
		"DOTA_Tooltip_ability_item_watchers_gaze"                                                         "Gözlemcinin Bakışı"
		"DOTA_Tooltip_ability_item_watchers_gaze_Description"                                             "<h1><font color='#FF7800'>Pasif:</font></h1> Listelenen bonuslara sahip bir zindan ödül öğesi.Seviye gerektirir %required_level%."
		"DOTA_Tooltip_ability_item_watchers_gaze_required_level"                                          "GEREKLİ SEVİYE:"
		"DOTA_Tooltip_ability_item_watchers_gaze_bonus_stats"                                             "BONUS İSTATİSTİKLERİ:"
		"DOTA_Tooltip_ability_item_watchers_gaze_stone_duration"                                          "TAŞ SÜRESİ:"
		"DOTA_Tooltip_ability_item_watchers_gaze_bonus_physical_damage"                                   "FAZLA FİZİKSEL HASAR:"
		"DOTA_Tooltip_ability_item_watchers_gaze_vision_cone"                                             "VİZYON KONİSİ:"
		"DOTA_Tooltip_ability_item_carapace_of_qaldin"                                                    "Qaldin'in kabuğu"
		"DOTA_Tooltip_ability_item_carapace_of_qaldin_Description"                                        "<h1><font color='#FF7800'>Pasif:</font></h1> Listelenen bonuslara sahip bir zindan ödül öğesi.Seviye gerektirir %required_level%."
		"DOTA_Tooltip_ability_item_carapace_of_qaldin_required_level"                                     "GEREKLİ SEVİYE:"
		"DOTA_Tooltip_ability_item_carapace_of_qaldin_bonus_hp"                                           "BONUS SAĞLIK:"
		"DOTA_Tooltip_ability_item_carapace_of_qaldin_bonus_mana"                                         "BONUS MANASI:"
		"DOTA_Tooltip_ability_item_carapace_of_qaldin_bonus_restore_pct"                                  "BONUS GERİ YÜKLEME:"
		"DOTA_Tooltip_ability_item_carapace_of_qaldin_damage_return_pct"                                  "% HASAR İADE:"
		"DOTA_Tooltip_ability_item_the_caustic_finale"                                                    "Kostik Final"
		"DOTA_Tooltip_ability_item_the_caustic_finale_Description"                                        "<h1><font color='#FF7800'>Pasif:</font></h1> Listelenen bonuslara sahip bir zindan ödül öğesi.Seviye gerektirir %required_level%."
		"DOTA_Tooltip_ability_item_the_caustic_finale_required_level"                                     "GEREKLİ SEVİYE:"
		"DOTA_Tooltip_ability_item_the_caustic_finale_bonus_damage"                                       "EK HASAR:"
		"DOTA_Tooltip_ability_item_the_caustic_finale_bonus_attack_speed"                                 "FAZLA SALDIRI HIZI:"
		"DOTA_Tooltip_ability_item_the_caustic_finale_caustic_armor_reduction_pct"                        "% ZIRH AZALTILMASI:"
		"DOTA_Tooltip_ability_item_the_caustic_finale_caustic_duration"                                   "KOSTİK SÜRESİ:"
		"DOTA_Tooltip_ability_item_the_caustic_finale_caustic_radius"                                     "KOZTİK YARIÇAP:"
		"DOTA_Tooltip_ability_item_the_caustic_finale_caustic_damage"                                     "KOZTİK HASAR:"
		"DOTA_Tooltip_ability_item_the_caustic_finale_max_stack_count"                                    "MAX Yığın Sayısı:"
		"DOTA_Tooltip_ability_item_ankh_of_reincarnation_magtheridon_reincarnation_time"                  "MAGTHERIDON REENKARNASYON ZAMANI:"
		"DOTA_Tooltip_ability_item_tome_small_stat_bonus"                                                 "İSTATİSTİK BONUSU:"
		"DOTA_Tooltip_ability_item_tome_big_stat_bonus"                                                   "İSTATİSTİK BONUSU:"
		"DOTA_Tooltip_ability_item_health_potion_hp_restore"                                              "SAĞLIĞA GERİ DÖNÜŞ:"
		"DOTA_Tooltip_ability_item_mana_potion_mana_restore"                                              "MANA GERİ YÜKLEME:"
		"DOTA_Tooltip_ability_item_key_of_the_three_moons_Description"                                    "<h1><font color='#FF7800'>Pasif:</font></h1> Listelenen bonusları ve efektleri verir."
		"DOTA_Tooltip_ability_item_recipe_bracer_of_the_void"                                             "Tarif: Hiçliğin Bileği"
		"DOTA_Tooltip_ability_item_recipe_bracer_of_the_void_Description"                                 "<h1><font color='#FF7800'>Tarif:</font></h1> Void'in Bracer'ı ile birleşir."
		"DOTA_Tooltip_ability_item_boots_of_speed_Description"                                            "<h1><font color='#FF7800'>Pasif:</font></h1> Listelenen bonusları ve efektleri verir."
		"DOTA_Tooltip_ability_item_recipe_celestial_claws"                                                "Tarif: Göksel Pençeler"
		"DOTA_Tooltip_ability_item_recipe_celestial_claws_Description"                                    "<h1><font color='#FF7800'>Tarif:</font></h1> Göksel Pençelerle birleşir."
		"DOTA_Tooltip_ability_item_lightning_sword_bonus_armor"                                           "BONUS ZIRH:"
		"DOTA_Tooltip_ability_item_ring_of_superiority_bonus_health_regen"                                "BONUS SAĞLIK YENİLENMESİ:"
		"DOTA_Tooltip_ability_item_ring_of_superiority_endurance_bonus_movement_speed"                    "DAYANIKLILIK İLAVE HAREKET HIZI:"
		"DOTA_Tooltip_ability_item_xhs_cloak_of_flames_damage_per_tick"                                   "SANİYE BAŞINA HASAR:"
		"DOTA_Tooltip_ability_item_xhs_cloak_of_flames_tick_time"                                         "TİK ORANI:"
		"DOTA_Tooltip_ability_item_rune_armor_Description"                                                "<h1><font color='#FF7800'>Pasif:</font></h1> Listelenen bonusları ve efektleri verir."
		"DOTA_Tooltip_ability_item_rune_armor_bonus_armor"                                                "BONUS ZIRH:"
		"DOTA_Tooltip_ability_item_rune_armor_duration"                                                   "SÜRE:"
		"DOTA_Tooltip_ability_item_tombstone_Description"                                                 "<h1><font color='#00CC00'>Aktif:</font></h1> Düşmüş bir müttefikin Mezar Taşı'na 5 saniye boyunca yönelerek onu o konumda canlandırın."
		"DOTA_Tooltip_ability_item_rune_immolation_Description"                                           "<h1><font color='#FF7800'>Pasif:</font></h1> Listelenen bonusları ve efektleri verir."
		"DOTA_Tooltip_ability_item_rune_immolation_radius"                                                "YARIÇAP:"
		"DOTA_Tooltip_ability_item_rune_immolation_damage_per_tick"                                       "SANİYE BAŞINA HASAR:"
		"DOTA_Tooltip_ability_item_rune_immolation_tick_time"                                             "TİK ORANI:"
		"DOTA_Tooltip_ability_item_rune_immolation_duration"                                              "SÜRE:"
		"DOTA_Tooltip_ability_item_orb_of_lightning_purge_cooldown"                                       "TEMİZLEME BEKLEME SÜRESİ:"
		"DOTA_Tooltip_ability_item_orb_of_lightning2_purge_cooldown"                                      "TEMİZLEME BEKLEME SÜRESİ:"
		"DOTA_Tooltip_ability_item_recipe_orb_of_lightning2"                                              "Tarif: Yıldırım Küresi 2"
		"DOTA_Tooltip_ability_item_recipe_orb_of_lightning2_Description"                                  "<h1><font color='#FF7800'>Tarif:</font></h1> Heaven Gem ile birleşir."
		"DOTA_Tooltip_ability_item_celestial_claws_purge_cooldown"                                        "TEMİZLEME BEKLEME SÜRESİ:"
		"DOTA_Tooltip_ability_item_recipe_orb_of_fire2"                                                   "Tarif: Ateş Küresi 2"
		"DOTA_Tooltip_ability_item_recipe_orb_of_fire2_Description"                                       "<h1><font color='#FF7800'>Tarif:</font></h1> Blazing Gem ile birleşir."
		"DOTA_Tooltip_ability_item_recipe_searing_blade"                                                  "Tarif: Yakıcı Bıçak"
		"DOTA_Tooltip_ability_item_recipe_searing_blade_Description"                                      "<h1><font color='#FF7800'>Tarif:</font></h1> Kızartma Bıçağı ile birleşir."
		"DOTA_Tooltip_ability_item_recipe_orb_of_darkness2"                                               "Tarif: Karanlık Küresi 2"
		"DOTA_Tooltip_ability_item_recipe_orb_of_darkness2_Description"                                   "<h1><font color='#FF7800'>Tarif:</font></h1> Demon Gem ile birleşir."
		"DOTA_Tooltip_Ability_item_orb_of_darkness"                                                       "Karanlığın Küresi"
		"DOTA_Tooltip_ability_item_orb_of_darkness_Description"                                           "<h1><font color='#FF7800'>Pasif: Hiçlik Siperi</font></h1> Taşınırken kalıcı olarak sağlık, zırh, sağlık yenilenmesi ve saldırı hasarı verir."
		"DOTA_Tooltip_ability_item_orb_of_darkness_bonus_hp"                                              "BONUS SAĞLIK:"
		"DOTA_Tooltip_ability_item_orb_of_darkness_bonus_armor"                                           "BONUS ZIRH:"
		"DOTA_Tooltip_ability_item_orb_of_darkness_bonus_health_regen"                                    "BONUS SAĞLIK YENİLENMESİ:"
		"DOTA_Tooltip_ability_item_orb_of_darkness_bonus_damage"                                          "EK HASAR:"
		"DOTA_Tooltip_Ability_item_orb_of_darkness2"                                                      "Şeytan Mücevheri"
		"DOTA_Tooltip_ability_item_orb_of_darkness2_Description"                                          "<h1><font color='#FF7800'>Pasif: Büyük Hiçlik Siperi</font></h1> Taşınırken kalıcı olarak sağlık, zırh, sağlık yenilenmesi ve saldırı hasarı verir."
		"DOTA_Tooltip_ability_item_orb_of_darkness2_bonus_hp"                                             "BONUS SAĞLIK:"
		"DOTA_Tooltip_ability_item_orb_of_darkness2_bonus_armor"                                          "BONUS ZIRH:"
		"DOTA_Tooltip_ability_item_orb_of_darkness2_bonus_health_regen"                                   "BONUS SAĞLIK YENİLENMESİ:"
		"DOTA_Tooltip_ability_item_orb_of_darkness2_bonus_damage"                                         "EK HASAR:"
		"DOTA_Tooltip_Ability_item_bracer_of_the_void"                                                    "Boşluğun Bileği"
		"DOTA_Tooltip_ability_item_bracer_of_the_void_Description"                                        "<h1><font color='#FF7800'>Pasif: Yüce Hiçlik Siperi</font></h1> Taşınırken kalıcı olarak sağlık, zırh, sağlık yenilenmesi ve saldırı hasarı verir."
		"DOTA_Tooltip_ability_item_bracer_of_the_void_bonus_hp"                                           "BONUS SAĞLIK:"
		"DOTA_Tooltip_ability_item_bracer_of_the_void_bonus_armor"                                        "BONUS ZIRH:"
		"DOTA_Tooltip_ability_item_bracer_of_the_void_bonus_health_regen"                                 "BONUS SAĞLIK YENİLENMESİ:"
		"DOTA_Tooltip_ability_item_bracer_of_the_void_bonus_damage"                                       "EK HASAR:"
		"DOTA_Tooltip_Ability_item_orb_of_lightning"                                                      "Yıldırım Küresi"
		"DOTA_Tooltip_ability_item_orb_of_lightning_Description"                                          "<h1><font color='#00CC00'>Aktif:</font> Etkinleştir/Devre Dışı Bırak</h1> Yıldırım Küresi (Temizleme).\n<h1><font color='#FF7800'>Pasif:</font> Yıldırım Küresi (Temizleme)</h1> Hedefi köklendirme ve silahsızlandırma şansı verir."
		"DOTA_Tooltip_ability_item_orb_of_lightning_Note0"                                                "Fırsatlar %damage_to_summons% illüzyonlara ek hasar."
		"DOTA_Tooltip_ability_item_orb_of_lightning_bonus_damage"                                         "EK HASAR:"
		"DOTA_Tooltip_ability_item_orb_of_lightning_bonus_movespeed"                                      "FAZLADAN HAREKET HIZI:"
		"DOTA_Tooltip_ability_item_orb_of_lightning_damage_to_summons"                                    "ÇAĞRILAN BİRİMLER HASARI:"
		"DOTA_Tooltip_ability_item_orb_of_lightning_purge_chance"                                         "%ŞANS YAVAŞLAMASI:"
		"DOTA_Tooltip_ability_item_orb_of_lightning_duration"                                             "SÜRE YAVAŞ:"
		"DOTA_Tooltip_ability_item_orb_of_lightning_movespeed_slow"                                       "%HAREKET YAVAŞ:"
		"DOTA_Tooltip_Ability_item_orb_of_lightning2"                                                     "Cennet Mücevheri"
		"DOTA_Tooltip_ability_item_orb_of_lightning2_Description"                                         "<h1><font color='#00CC00'>Aktif:</font> Etkinleştir/Devre Dışı Bırak</h1> Yıldırım Küresi (Temizleme).\n<h1><font color='#FF7800'>Pasif:</font> Yıldırım Küresi (Temizleme)</h1> Hedefi yavaşlatma ve silahsızlandırma şansı verir."
		"DOTA_Tooltip_ability_item_orb_of_lightning2_Note0"                                               "Fırsatlar %damage_to_summons% illüzyonlara ek hasar."
		"DOTA_Tooltip_ability_item_orb_of_lightning2_bonus_damage"                                        "EK HASAR:"
		"DOTA_Tooltip_ability_item_orb_of_lightning2_bonus_movespeed"                                     "FAZLADAN HAREKET HIZI:"
		"DOTA_Tooltip_ability_item_orb_of_lightning2_damage_to_summons"                                   "ÇAĞRILAN BİRİMLER HASARI:"
		"DOTA_Tooltip_ability_item_orb_of_lightning2_purge_chance"                                        "%ŞANS YAVAŞLAMASI:"
		"DOTA_Tooltip_ability_item_orb_of_lightning2_duration"                                            "SÜRE YAVAŞ:"
		"DOTA_Tooltip_ability_item_orb_of_lightning2_movespeed_slow"                                      "%HAREKET YAVAŞ:"
		"DOTA_Tooltip_Ability_item_celestial_claws"                                                       "Göksel Pençeler"
		"DOTA_Tooltip_ability_item_celestial_claws_Description"                                           "<h1><font color='#00CC00'>Aktif:</font> Etkinleştir/Devre Dışı Bırak</h1> Yıldırım Küresi (Temizleme).\n<h1><font color='#FF7800'>Pasif:</font> Yıldırım Küresi (Temizleme)</h1> Hedefi yavaşlatma ve silahsızlandırma şansı verir."
		"DOTA_Tooltip_ability_item_celestial_claws_Note0"                                                 "Fırsatlar %damage_to_summons% illüzyonlara ek hasar."
		"DOTA_Tooltip_ability_item_celestial_claws_bonus_damage"                                          "EK HASAR:"
		"DOTA_Tooltip_ability_item_celestial_claws_bonus_movespeed"                                       "FAZLADAN HAREKET HIZI:"
		"DOTA_Tooltip_ability_item_celestial_claws_damage_to_summons"                                     "ÇAĞRILAN BİRİMLER HASARI:"
		"DOTA_Tooltip_ability_item_celestial_claws_purge_chance"                                          "%ŞANS YAVAŞLAMASI:"
		"DOTA_Tooltip_ability_item_celestial_claws_duration"                                              "SÜRE YAVAŞ:"
		"DOTA_Tooltip_ability_item_celestial_claws_movespeed_slow"                                        "%HAREKET YAVAŞ:"
		"DOTA_Tooltip_ability_item_celestial_claws_bat_reduction"                                         "YARASA AZALTMA:"
		"DOTA_Tooltip_modifier_purge"                                                                     "Tasfiye"
		"DOTA_Tooltip_modifier_purge_Description"                                                         "Düşman hedefinin pozitif güçlendirmelerini kaldırır ve onu yavaşlatır."
		"DOTA_Tooltip_modifier_animation_freeze_stun"                                                     "Animasyon Dondurma Sersemletme"
		"DOTA_Tooltip_modifier_animation_freeze_stun_Description"                                         "Şaşkın ve harekete geçemiyor."
		"DOTA_Tooltip_modifier_boss_stun"                                                                 "Patron Sersemletme"
		"DOTA_Tooltip_modifier_boss_stun_Description"                                                     "Sersemlemiştim.Boss davranışı bu süre boyunca duraklatılır."
		"DOTA_Tooltip_modifier_entrangling_roots"                                                         "Dolaşık Kökler"
		"DOTA_Tooltip_modifier_entrangling_roots_Description"                                             "Zamanla hasar alırken sabitlenir ve silahsızlandırılır."
		"DOTA_Tooltip_modifier_frostivus_altar_aura_fire_buff"                                            "Frostivus Ateş Aurası"
		"DOTA_Tooltip_modifier_frostivus_altar_aura_fire_buff_Description"                                "Verilen hasar: %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%.Büyü güçlendirme: %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%.bonus gece görüşü: %dMODIFIER_PROPERTY_BONUS_NIGHT_VISION%."
		"DOTA_Tooltip_modifier_frostivus_boss"                                                            "Frostivus Patronu"
		"DOTA_Tooltip_modifier_frostivus_boss_Description"                                                "Saldırı hasarı: %dMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%.Zırh: %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.Büyü direnci: %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%.ekstra sağlık yüzdesi: %dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%.Hareket hızı: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%.hareket hızı mutlak min: %dMODIFIER_PROPERTY_MOVESPEED_ABSOLUTE_MIN%.maksimum hareket hızı: %dMODIFIER_PROPERTY_MOVESPEED_MAX%."
		"DOTA_Tooltip_modifier_frostivus_necromastery"                                                    "Frostivus Nekro Ustalığı"
		"DOTA_Tooltip_modifier_frostivus_necromastery_Description"                                        "Frostivus Necromastery aktif."
		"DOTA_Tooltip_modifier_furbolg_earthshock_slow"                                                   "Furbolg Earthshock Yavaşlatma"
		"DOTA_Tooltip_modifier_furbolg_earthshock_slow_Description"                                       "Hareket hızı: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_imba_ghostship_drag"                                                       "Hayalet Gemi Sürüklemesi"
		"DOTA_Tooltip_modifier_imba_ghostship_drag_Description"                                           "Ghostship tarafından sürüklendi."
		"DOTA_Tooltip_modifier_imba_ghostship_rum"                                                        "Hayalet Gemisi Romu"
		"DOTA_Tooltip_modifier_imba_ghostship_rum_Description"                                            "Hareket hızı: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_imba_ghostship_rum_damage"                                                 "Hayalet Gemi Rom Hasarı"
		"DOTA_Tooltip_modifier_imba_ghostship_rum_damage_Description"                                     "Gecikmeli Ghostship Rum hasarının alınması."
		"DOTA_Tooltip_modifier_imba_ghostship_tide_slow"                                                  "Hayalet Gemi Gelgit Yavaşlaması"
		"DOTA_Tooltip_modifier_imba_ghostship_tide_slow_Description"                                      "Hareket hızı: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_imba_kunkka_torrent_talent_thinker"                                        "Sel Etki Alanı"
		"DOTA_Tooltip_modifier_imba_kunkka_torrent_talent_thinker_Description"                            "Torrent etki alanı."
		"DOTA_Tooltip_modifier_imba_overload_debuff"                                                      "Aşırı yükleme"
		"DOTA_Tooltip_modifier_imba_overload_debuff_Description"                                          "Hareket hızı: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%.Saldırı hızı: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_imba_sec_torrent_slow"                                                     "İkincil Torrent Yavaş"
		"DOTA_Tooltip_modifier_imba_sec_torrent_slow_Description"                                         "Hareket hızı: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_imba_torrent_cast"                                                         "Torrent Oyuncusu"
		"DOTA_Tooltip_modifier_imba_torrent_cast_Description"                                             "döküm açısını göz ardı edin: %dMODIFIER_PROPERTY_IGNORE_CAST_ANGLE%.dönmeyi devre dışı bırak: %dMODIFIER_PROPERTY_DISABLE_TURNING%."
		"DOTA_Tooltip_modifier_imba_torrent_slow"                                                         "Torrent Yavaş"
		"DOTA_Tooltip_modifier_imba_torrent_slow_Description"                                             "Hareket hızı: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_orb_of_fire_active"                                                        "Ateş Küresi Aktif"
		"DOTA_Tooltip_modifier_orb_of_fire_active_Description"                                            "Ateş Küresi etkinleştirildi.Yakın dövüş saldırıları yakındaki düşmanları parçalar."
		"DOTA_Tooltip_modifier_shopkeeper"                                                                "Dükkan sahibi"
		"DOTA_Tooltip_modifier_shopkeeper_Description"                                                    "otomatik saldırıyı devre dışı bırak: %dMODIFIER_PROPERTY_DISABLE_AUTOATTACK%.mutlak hasar yok büyülü: %dMODIFIER_PROPERTY_ABSOLUTE_NO_DAMAGE_MAGICAL%.kesinlikle fiziksel hasar yok: %dMODIFIER_PROPERTY_ABSOLUTE_NO_DAMAGE_PHYSICAL%.mutlak hasar yok saf: %dMODIFIER_PROPERTY_ABSOLUTE_NO_DAMAGE_PURE%.Asgari sağlık: %dMODIFIER_PROPERTY_MIN_HEALTH%."
		"DOTA_Tooltip_modifier_voodoo_lua"                                                                "Vudu"
		"DOTA_Tooltip_modifier_voodoo_lua_Description"                                                    "hareket hızı tabanını geçersiz kılma: %dMODIFIER_PROPERTY_MOVESPEED_BASE_OVERRIDE%."
		"DOTA_Tooltip_modifier_xhs_cloak_of_flames_burn"                                                  "Alev Pelerini Yanık"
		"DOTA_Tooltip_modifier_xhs_cloak_of_flames_burn_Description"                                      "Periyodik yangın hasarı almak."
		"DOTA_Tooltip_modifier_acid_skin_debuff"                                                          "Asit Cilt"
		"DOTA_Tooltip_modifier_acid_skin_debuff_Description"                                              "Saldırı hızı: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%.Hareket hızı: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_ankh_passives_Description"                                                 "Reenkarnasyon aktiftir."
		"DOTA_Tooltip_modifier_anti_magic_Description"                                                    "Anti-büyü aktif."
		"DOTA_Tooltip_modifier_aura_of_blight_datadriven"                                                 "Felaket Aurası"
		"DOTA_Tooltip_modifier_aura_of_blight_datadriven_Description"                                     "Sağlık yenilenmesi: %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%."
		"DOTA_Tooltip_modifier_battlecry"                                                                 "Savaş çığlığı"
		"DOTA_Tooltip_modifier_battlecry_Description"                                                     "Verilen hasar: %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%.Zırh: %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		"DOTA_Tooltip_modifier_battlecry_passive"                                                         "Savaş çığlığı"
		"DOTA_Tooltip_modifier_battlecry_passive_Description"                                             "Saldırı hasarı: %dMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%.Zırh: %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		"DOTA_Tooltip_modifier_blademaster_wardrums"                                                      "Savaş Davulları"
		"DOTA_Tooltip_modifier_blademaster_wardrums_Description"                                          "Verilen hasar: %dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_blizzard_thinker"                                                          "kar fırtınası"
		"DOTA_Tooltip_modifier_blizzard_thinker_Description"                                              "Blizzard'dan periyodik hasar almak."
		"DOTA_Tooltip_modifier_blizzard_wave"                                                             "Kar fırtınası dalgası"
		"DOTA_Tooltip_modifier_blizzard_wave_Description"                                                 "Blizzard Wave'den periyodik hasar almak."
		"DOTA_Tooltip_modifier_corrosive_breath_datadriven"                                               "Aşındırıcı Nefes"
		"DOTA_Tooltip_modifier_corrosive_breath_datadriven_Description"                                   "Aşındırıcı Nefes'ten periyodik hasar almak."
		"DOTA_Tooltip_modifier_cripple"                                                                   "Sakat"
		"DOTA_Tooltip_modifier_cripple_Description"                                                       "Saldırı hızı: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%.Alınan hasar: %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%.Hareket hızı: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_curse_debuff_datadriven"                                                   "Lanet"
		"DOTA_Tooltip_modifier_curse_debuff_datadriven_Description"                                       "Hareket hızı veya savaş etkinliği azalır."
		"DOTA_Tooltip_modifier_dark_dimension"                                                            "Karanlık Boyut"
		"DOTA_Tooltip_modifier_dark_dimension_Description"                                                "Dark Dimension tarafından devre dışı bırakıldı veya yeri değiştirildi."
		"DOTA_Tooltip_modifier_devotion_aura_hidden"                                                      "Adanmışlık Aurası"
		"DOTA_Tooltip_modifier_devotion_aura_hidden_Description"                                          "Zırh: %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		"DOTA_Tooltip_modifier_devour_datadriven"                                                         "yutmak"
		"DOTA_Tooltip_modifier_devour_datadriven_Description"                                             "Devour'dan periyodik hasar almak."
		"DOTA_Tooltip_modifier_disease_cloud_debuff"                                                      "Hastalık Bulutu"
		"DOTA_Tooltip_modifier_disease_cloud_debuff_Description"                                          "Hastalık Bulutu'ndan periyodik hasar almak."
		"DOTA_Tooltip_modifier_dragon_form_Description"                                                   "Saldırı aralığı: %dMODIFIER_PROPERTY_ATTACK_RANGE_BONUS%."
		"DOTA_Tooltip_modifier_dwarf_toss_slow"                                                           "Cüce Yavaş Atış"
		"DOTA_Tooltip_modifier_dwarf_toss_slow_Description"                                               "Hareket hızı: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_earthquake"                                                                "Deprem"
		"DOTA_Tooltip_modifier_earthquake_Description"                                                    "Hareket hızı: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_egg"                                                                       "Yumurta"
		"DOTA_Tooltip_modifier_egg_Description"                                                           "Yumurta aktif."
		"DOTA_Tooltip_modifier_exorcism"                                                                  "Şeytan çıkarma"
		"DOTA_Tooltip_modifier_exorcism_Description"                                                      "Şeytan çıkarma etkindir."
		"DOTA_Tooltip_modifier_exorcism_spirit"                                                           "Şeytan çıkarma ruhu"
		"DOTA_Tooltip_modifier_exorcism_spirit_Description"                                               "Şeytan Çıkarma Ruhu aktif."
		"DOTA_Tooltip_modifier_flame_strike_first_burn"                                                   "Alev Saldırısı İlk Yanık"
		"DOTA_Tooltip_modifier_flame_strike_first_burn_Description"                                       "Alev Saldırısı İlk Yakma'dan periyodik hasar alma."
		"DOTA_Tooltip_modifier_flame_strike_second_burn"                                                  "Alev Saldırısı İkinci Yanık"
		"DOTA_Tooltip_modifier_flame_strike_second_burn_Description"                                      "Alev Saldırısı İkinci Yanıktan periyodik hasar almak."
