"lang"
{
	"Language"	"Vietnamese"
		"DOTA_Tooltip_modifier_imba_torrent_slow_Description"                                             "Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_orb_of_fire_active"                                                        "Quả cầu lửa đang hoạt động"
		"DOTA_Tooltip_modifier_orb_of_fire_active_Description"                                            "Fire Orb được kích hoạt.Các đòn tấn công cận chiến sẽ chém kẻ địch ở gần."
		"DOTA_Tooltip_modifier_shopkeeper"                                                                "chủ cửa hàng"
		"DOTA_Tooltip_modifier_shopkeeper_Description"                                                    "vô hiệu hóa tự động tấn công: %dMODIFIER_PROPERTY_DISABLE_AUTOATTACK%.tuyệt đối không có sát thương phép thuật: %dMODIFIER_PROPERTY_ABSOLUTE_NO_DAMAGE_MAGICAL%.tuyệt đối không có sát thương vật lý: %dMODIFIER_PROPERTY_ABSOLUTE_NO_DAMAGE_PHYSICAL%.tuyệt đối không có thiệt hại tinh khiết: %dMODIFIER_PROPERTY_ABSOLUTE_NO_DAMAGE_PURE%.Sức khỏe tối thiểu: %dMODIFIER_PROPERTY_MIN_HEALTH%."
		"DOTA_Tooltip_modifier_voodoo_lua"                                                                "tà thuật"
		"DOTA_Tooltip_modifier_voodoo_lua_Description"                                                    "ghi đè cơ sở tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BASE_OVERRIDE%."
		"DOTA_Tooltip_modifier_xhs_cloak_of_flames_burn"                                                  "Áo choàng lửa cháy"
		"DOTA_Tooltip_modifier_xhs_cloak_of_flames_burn_Description"                                      "Chịu sát thương lửa định kỳ."
		"DOTA_Tooltip_modifier_acid_skin_debuff"                                                          "Da axit"
		"DOTA_Tooltip_modifier_acid_skin_debuff_Description"                                              "Tốc độ tấn công: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%.Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_ankh_passives_Description"                                                 "Sự tái sinh đang hoạt động."
		"DOTA_Tooltip_modifier_anti_magic_Description"                                                    "Chống ma thuật đang hoạt động."
		"DOTA_Tooltip_modifier_aura_of_blight_datadriven"                                                 "Hào quang của sự tàn lụi"
		"DOTA_Tooltip_modifier_aura_of_blight_datadriven_Description"                                     "Phục hồi sức khỏe: %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%."
		"DOTA_Tooltip_modifier_battlecry"                                                                 "chiến đấu"
		"DOTA_Tooltip_modifier_battlecry_Description"                                                     "Thiệt hại gây ra: %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%.Giáp: %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		"DOTA_Tooltip_modifier_battlecry_passive"                                                         "chiến đấu"
		"DOTA_Tooltip_modifier_battlecry_passive_Description"                                             "Sát thương tấn công: %dMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%.Giáp: %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		"DOTA_Tooltip_modifier_blademaster_wardrums"                                                      "Trống chiến"
		"DOTA_Tooltip_modifier_blademaster_wardrums_Description"                                          "Thiệt hại gây ra: %dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_blizzard_thinker"                                                          "Bão tuyết"
		"DOTA_Tooltip_modifier_blizzard_thinker_Description"                                              "Nhận sát thương định kỳ từ Blizzard."
		"DOTA_Tooltip_modifier_blizzard_wave"                                                             "Sóng bão tuyết"
		"DOTA_Tooltip_modifier_blizzard_wave_Description"                                                 "Nhận sát thương định kỳ từ Blizzard Wave."
		"DOTA_Tooltip_modifier_corrosive_breath_datadriven"                                               "hơi thở ăn mòn"
		"DOTA_Tooltip_modifier_corrosive_breath_datadriven_Description"                                   "Nhận sát thương định kỳ từ Hơi thở ăn mòn."
		"DOTA_Tooltip_modifier_cripple"                                                                   "què quặt"
		"DOTA_Tooltip_modifier_cripple_Description"                                                       "Tốc độ tấn công: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%.Thiệt hại nhận được: %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%.Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_curse_debuff_datadriven"                                                   "Lời nguyền"
		"DOTA_Tooltip_modifier_curse_debuff_datadriven_Description"                                       "Tốc độ di chuyển hoặc hiệu quả chiến đấu bị giảm."
		"DOTA_Tooltip_modifier_dark_dimension"                                                            "chiều tối"
		"DOTA_Tooltip_modifier_dark_dimension_Description"                                                "Bị vô hiệu hóa hoặc bị thay thế bởi Dark Dimension."
		"DOTA_Tooltip_modifier_devotion_aura_hidden"                                                      "Hào quang sùng kính"
		"DOTA_Tooltip_modifier_devotion_aura_hidden_Description"                                          "Giáp: %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		"DOTA_Tooltip_modifier_devour_datadriven"                                                         "nuốt chửng"
		"DOTA_Tooltip_modifier_devour_datadriven_Description"                                             "Nhận sát thương định kỳ từ Devour."
		"DOTA_Tooltip_modifier_disease_cloud_debuff"                                                      "Đám mây bệnh tật"
		"DOTA_Tooltip_modifier_disease_cloud_debuff_Description"                                          "Nhận sát thương định kỳ từ Đám mây Bệnh tật."
		"DOTA_Tooltip_modifier_dragon_form_Description"                                                   "Phạm vi tấn công: %dMODIFIER_PROPERTY_ATTACK_RANGE_BONUS%."
		"DOTA_Tooltip_modifier_dwarf_toss_slow"                                                           "Lùn ném chậm"
		"DOTA_Tooltip_modifier_dwarf_toss_slow_Description"                                               "Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_earthquake"                                                                "Động đất"
		"DOTA_Tooltip_modifier_earthquake_Description"                                                    "Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_egg"                                                                       "trứng"
		"DOTA_Tooltip_modifier_egg_Description"                                                           "Trứng đang hoạt động."
		"DOTA_Tooltip_modifier_exorcism"                                                                  "trừ tà"
		"DOTA_Tooltip_modifier_exorcism_Description"                                                      "Phép trừ tà đang hoạt động."
		"DOTA_Tooltip_modifier_exorcism_spirit"                                                           "Tinh thần trừ tà"
		"DOTA_Tooltip_modifier_exorcism_spirit_Description"                                               "Tinh thần trừ tà đang hoạt động."
		"DOTA_Tooltip_modifier_flame_strike_first_burn"                                                   "Ngọn lửa tấn công đốt cháy đầu tiên"
		"DOTA_Tooltip_modifier_flame_strike_first_burn_Description"                                       "Nhận sát thương định kỳ từ Flame Strike First Burn."
		"DOTA_Tooltip_modifier_flame_strike_second_burn"                                                  "Ngọn lửa tấn công đốt lần thứ hai"
		"DOTA_Tooltip_modifier_flame_strike_second_burn_Description"                                      "Nhận sát thương định kỳ từ Flame Strike Second Burn."
		"DOTA_Tooltip_modifier_frost_arrows_slow_datadriven"                                              "Mũi tên băng giá chậm"
		"DOTA_Tooltip_modifier_frost_arrows_slow_datadriven_Description"                                  "Tốc độ di chuyển hoặc hiệu quả chiến đấu bị giảm."
		"DOTA_Tooltip_modifier_frost_chaos"                                                               "Hỗn loạn băng giá"
		"DOTA_Tooltip_modifier_frost_chaos_Description"                                                   "Frost Chaos đang hoạt động."
		"DOTA_Tooltip_modifier_frost_chaos_debuff"                                                        "Hỗn loạn băng giá"
		"DOTA_Tooltip_modifier_frost_chaos_debuff_Description"                                            "Frost Chaos đang hoạt động."
		"DOTA_Tooltip_modifier_frost_frenzy_Description"                                                  "Tốc độ tấn công: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%.Thiệt hại nhận được: %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_hellfire_blast_stun"                                                       "Choáng vụ nổ Hellfire"
		"DOTA_Tooltip_modifier_hellfire_blast_stun_Description"                                           "Choáng váng và không thể hành động."
		"DOTA_Tooltip_modifier_holdout_guardian_angel_summoned_buff"                                      "Thiên thần hộ mệnh"
		"DOTA_Tooltip_modifier_holdout_guardian_angel_summoned_buff_Description"                          "Tuyệt đối không có sát thương vật lý: %dMODIFIER_PROPERTY_ABSOLUTE_NO_DAMAGE_PHYSICAL%.Sát thương tấn công: %dMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%."
		"DOTA_Tooltip_modifier_hoof_stomp"                                                                "dậm móng guốc"
		"DOTA_Tooltip_modifier_hoof_stomp_Description"                                                    "Choáng váng và không thể hành động."
		"DOTA_Tooltip_modifier_hurl_bomb_datadriven"                                                      "Ném bom"
		"DOTA_Tooltip_modifier_hurl_bomb_datadriven_Description"                                          "Ném bom đang hoạt động."
		"DOTA_Tooltip_modifier_imba_bane_nightmare"                                                       "Cơn ác mộng"
		"DOTA_Tooltip_modifier_imba_bane_nightmare_Description"                                           "Tầm nhìn ban ngày: %dMODIFIER_PROPERTY_BONUS_DAY_VISION%.Tầm nhìn ban đêm: %dMODIFIER_PROPERTY_BONUS_NIGHT_VISION%."
		"DOTA_Tooltip_modifier_imba_bane_nightmare_invul"                                                 "Bảo vệ cơn ác mộng"
		"DOTA_Tooltip_modifier_imba_bane_nightmare_invul_Description"                                     "Được bảo vệ khi bị ảnh hưởng bởi Ác Mộng."
		"DOTA_Tooltip_modifier_imba_requiem_enemy_debuff"                                                 "cầu nguyện"
		"DOTA_Tooltip_modifier_imba_requiem_enemy_debuff_Description"                                     "Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%.Thiệt hại gây ra: %dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_inferno_immolation_burn"                                                   "Thiêu đốt địa ngục"
		"DOTA_Tooltip_modifier_inferno_immolation_burn_Description"                                       "Nhận sát thương định kỳ từ Inferno Immolation Burn."
		"DOTA_Tooltip_modifier_inferno_stun"                                                              "Choáng địa ngục"
		"DOTA_Tooltip_modifier_inferno_stun_Description"                                                  "Choáng váng và không thể hành động."
		"DOTA_Tooltip_modifier_invoker_chaos_meteor_datadriven_burn_damage"                               "Sát thương đốt cháy thiên thạch của Invoker Chaos"
		"DOTA_Tooltip_modifier_invoker_chaos_meteor_datadriven_burn_damage_Description"                   "Nhận sát thương định kỳ từ Sát thương đốt thiên thạch của Invoker Chaos."
		"DOTA_Tooltip_modifier_invoker_chaos_meteor_datadriven_unit_ability"                              "Sao băng hỗn loạn của kẻ xâm lược"
		"DOTA_Tooltip_modifier_invoker_chaos_meteor_datadriven_unit_ability_Description"                  "Nhận sát thương định kỳ từ Invoker Chaos Meteor."
		"DOTA_Tooltip_modifier_invoker_tornado_datadriven_cyclone"                                        "Lốc xoáy Invoker"
		"DOTA_Tooltip_modifier_invoker_tornado_datadriven_cyclone_Description"                            "Bị vô hiệu hóa hoặc bị di dời bởi Invoker Tornado Cyclone."
		"DOTA_Tooltip_modifier_invoker_tornado_datadriven_unit_ability"                                   "Cơn lốc Invoker"
		"DOTA_Tooltip_modifier_invoker_tornado_datadriven_unit_ability_Description"                       "Bị vô hiệu hóa hoặc bị thay thế bởi Invoker Tornado."
		"DOTA_Tooltip_modifier_jingu_mastery_activated"                                                   "Kinh thành thạo"
		"DOTA_Tooltip_modifier_jingu_mastery_activated_Description"                                       "Jingu Mastery đang hoạt động."
		"DOTA_Tooltip_modifier_jingu_mastery_hitcount"                                                    "Bộ đếm lượt truy cập thông thạo Jingu"
		"DOTA_Tooltip_modifier_jingu_mastery_hitcount_Description"                                        "Bộ đếm lượt truy cập thông thạo Jingu đang hoạt động."
		"DOTA_Tooltip_modifier_magic_shield_Description"                                                  "Khiên ma thuật đang hoạt động."
		"DOTA_Tooltip_modifier_magtheridon_medium"                                                        "Magtheridon Tách"
		"DOTA_Tooltip_modifier_magtheridon_medium_Description"                                            "Magtheridon Chia tách đang hoạt động."
		"DOTA_Tooltip_modifier_march_of_the_machines_dummy_datadriven"                                    "Tháng ba của máy móc"
		"DOTA_Tooltip_modifier_march_of_the_machines_dummy_datadriven_Description"                        "March of the Machines đang hoạt động."
		"DOTA_Tooltip_modifier_metamorphosis"                                                             "biến thái"
		"DOTA_Tooltip_modifier_metamorphosis_Description"                                                 "Phạm vi tấn công: %dMODIFIER_PROPERTY_ATTACK_RANGE_BONUS%.Thiệt hại gây ra: %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%.Thời gian tấn công cơ bản: %dMODIFIER_PROPERTY_BASE_ATTACK_TIME_CONSTANT%."
		"DOTA_Tooltip_modifier_monsoon_debuff"                                                            "gió mùa"
		"DOTA_Tooltip_modifier_monsoon_debuff_Description"                                                "Tốc độ tấn công: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%.Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_monsoon_small_debuff"                                                      "Gió mùa nhỏ"
		"DOTA_Tooltip_modifier_monsoon_small_debuff_Description"                                          "Tốc độ tấn công: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%.Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_muradin_avatar_buff"                                                       "Hình đại diện"
		"DOTA_Tooltip_modifier_muradin_avatar_buff_Description"                                           "hằng số điểm tấn công: %dMODIFIER_PROPERTY_ATTACK_POINT_CONSTANT%.Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%.quy mô mô hình: %dMODIFIER_PROPERTY_MODEL_SCALE%."
		"DOTA_Tooltip_modifier_pulse_nova_enemy"                                                          "Xung Nova"
		"DOTA_Tooltip_modifier_pulse_nova_enemy_Description"                                              "Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_rabid_passive"                                                             "bệnh dại"
		"DOTA_Tooltip_modifier_rabid_passive_Description"                                                 "Tốc độ tấn công: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%.Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_reduction_mr_debuff"                                                       "Giảm kháng phép"
		"DOTA_Tooltip_modifier_reduction_mr_debuff_Description"                                           "Kháng phép thuật: %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."
		"DOTA_Tooltip_modifier_sacred_pool"                                                               "Bể thiêng"
		"DOTA_Tooltip_modifier_sacred_pool_Description"                                                   "Hồ thiêng đang hoạt động."
		"DOTA_Tooltip_modifier_sacred_pool_buff"                                                          "Bể thiêng"
		"DOTA_Tooltip_modifier_sacred_pool_buff_Description"                                              "Hồ thiêng đang hoạt động."
		"DOTA_Tooltip_modifier_sacred_pool_debuff"                                                        "Bể thiêng"
		"DOTA_Tooltip_modifier_sacred_pool_debuff_Description"                                            "Hồ thiêng đang hoạt động."
		"DOTA_Tooltip_modifier_sacred_pool_enemy"                                                         "Bể thiêng"
		"DOTA_Tooltip_modifier_sacred_pool_enemy_Description"                                             "Nhận sát thương định kỳ từ Sacred Pool."
		"DOTA_Tooltip_modifier_slow_aoe"                                                                  "AoE chậm"
		"DOTA_Tooltip_modifier_slow_aoe_Description"                                                      "Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_snappy_aura_datadriven"                                                    "Hào quang vui vẻ"
		"DOTA_Tooltip_modifier_snappy_aura_datadriven_Description"                                        "Phục hồi sức khỏe: %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%.Giáp: %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.Thiệt hại gây ra: %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_souls"                                                                     "Linh hồn"
		"DOTA_Tooltip_modifier_souls_Description"                                                         "Sát thương tấn công: %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%.chú giải công cụ: %dMODIFIER_PROPERTY_TOOLTIP%."
		"DOTA_Tooltip_modifier_stampede"                                                                  "giẫm đạp"
		"DOTA_Tooltip_modifier_stampede_Description"                                                      "Stampede đang hoạt động."
		"DOTA_Tooltip_modifier_stampede_dummy"                                                            "giẫm đạp"
		"DOTA_Tooltip_modifier_stampede_dummy_Description"                                                "Stampede đang hoạt động."
		"DOTA_Tooltip_modifier_static_remnant_dummy_datadriven"                                           "Tàn dư tĩnh"
		"DOTA_Tooltip_modifier_static_remnant_dummy_datadriven_Description"                               "Tàn dư tĩnh đang hoạt động."
		"DOTA_Tooltip_modifier_static_remnant_dummy_freeze_datadriven"                                    "Đóng băng tàn dư tĩnh"
		"DOTA_Tooltip_modifier_static_remnant_dummy_freeze_datadriven_Description"                        "Đóng băng tàn dư tĩnh đang hoạt động."
		"DOTA_Tooltip_modifier_storm_bolt"                                                                "Tia bão"
		"DOTA_Tooltip_modifier_storm_bolt_Description"                                                    "Choáng váng và không thể hành động."
		"DOTA_Tooltip_modifier_storm_bolt_datadriven"                                                     "Tia bão"
		"DOTA_Tooltip_modifier_storm_bolt_datadriven_Description"                                         "Choáng váng và không thể hành động."
		"DOTA_Tooltip_modifier_vampiric_aura_buff"                                                        "Hào quang ma cà rồng"
		"DOTA_Tooltip_modifier_vampiric_aura_buff_Description"                                            "Hào quang ma cà rồng đang hoạt động."
		"DOTA_Tooltip_modifier_viper_poison_attack_debuff_datadriven"                                     "Tấn công bằng chất độc"
		"DOTA_Tooltip_modifier_viper_poison_attack_debuff_datadriven_Description"                         "Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_acid_skin"                                                                 "Da axit"
		"DOTA_Tooltip_modifier_acid_skin_Description"                                                     "Kháng phép thuật: %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."
		"DOTA_Tooltip_modifier_archimonde"                                                                "Archimonde"
		"DOTA_Tooltip_modifier_archimonde_Description"                                                    "Phạm vi tấn công: %dMODIFIER_PROPERTY_ATTACK_RANGE_BONUS%.Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%.Sát thương tấn công: %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%."
		"DOTA_Tooltip_modifier_berserkers_rage"                                                           "Cơn thịnh nộ của Berserker"
		"DOTA_Tooltip_modifier_berserkers_rage_Description"                                               "Tốc độ tấn công: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%.Thiệt hại nhận được: %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%.Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_black_dragon_datadriven"                                                   "Rồng đen"
		"DOTA_Tooltip_modifier_black_dragon_datadriven_Description"                                       "Phạm vi tấn công: %dMODIFIER_PROPERTY_ATTACK_RANGE_BONUS%.Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_blade_dance_crit"                                                          "Đòn tấn công kiếm vũ"
		"DOTA_Tooltip_modifier_blade_dance_crit_Description"                                              "Thiệt hại nghiêm trọng: %dMODIFIER_PROPERTY_PREATTACK_CRITICALSTRIKE%."
		"DOTA_Tooltip_modifier_blizzard_slow"                                                             "Bão tuyết"
		"DOTA_Tooltip_modifier_blizzard_slow_Description"                                                 "Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%.Tốc độ tấn công: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_bonus_mr_buff"                                                             "Hào quang Malefice"
		"DOTA_Tooltip_modifier_bonus_mr_buff_Description"                                                 "Kháng phép thuật: %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."
		"DOTA_Tooltip_modifier_distance_aura_hidden"                                                      "Khoảng cách hào quang"
		"DOTA_Tooltip_modifier_distance_aura_hidden_Description"                                          "Phạm vi tấn công: %dMODIFIER_PROPERTY_ATTACK_RANGE_BONUS%."
		"DOTA_Tooltip_modifier_divine_aura_buff"                                                          "Hào quang thần thánh"
		"DOTA_Tooltip_modifier_divine_aura_buff_Description"                                              "Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%.Giáp: %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.Phục hồi sức khỏe: %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%.Thời gian tấn công cơ bản: %dMODIFIER_PROPERTY_BASE_ATTACK_TIME_CONSTANT%."
		"DOTA_Tooltip_modifier_dwarf_toss"                                                                "ném lùn"
		"DOTA_Tooltip_modifier_dwarf_toss_Description"                                                    "Tốc độ tấn công: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%.Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_empower_buff"                                                              "Trao quyền"
		"DOTA_Tooltip_modifier_empower_buff_Description"                                                  "Thiệt hại gây ra: %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_enhanced_spirit_earth"                                                     "Trái đất linh hồn được nâng cao"
		"DOTA_Tooltip_modifier_enhanced_spirit_earth_Description"                                         "Phục hồi sức khỏe: %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%."
		"DOTA_Tooltip_modifier_enhanced_spirit_storm"                                                     "Cơn bão tinh thần được tăng cường"
		"DOTA_Tooltip_modifier_enhanced_spirit_storm_Description"                                         "Tỷ lệ khuếch đại chính tả: %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%."
		"DOTA_Tooltip_modifier_evasion"                                                                   "Trốn tránh"
		"DOTA_Tooltip_modifier_evasion_Description"                                                       "Trốn tránh: %dMODIFIER_PROPERTY_EVASION_CONSTANT%%%."
		"DOTA_Tooltip_modifier_frost_breath_slow"                                                         "Hơi thở băng giá"
		"DOTA_Tooltip_modifier_frost_breath_slow_Description"                                             "Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_frostmourne"                                                               "băng giá"
		"DOTA_Tooltip_modifier_frostmourne_Description"                                                   "Trốn tránh: %dMODIFIER_PROPERTY_EVASION_CONSTANT%%%."
		"DOTA_Tooltip_modifier_giant_model"                                                               "Mô hình khổng lồ"
		"DOTA_Tooltip_modifier_giant_model_Description"                                                   "Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%.Thiệt hại gây ra: %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_gods_strength"                                                             "Hình đại diện"
		"DOTA_Tooltip_modifier_gods_strength_Description"                                                 "Sát thương tấn công: %dMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%.Giáp: %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.Sức khỏe: %dMODIFIER_PROPERTY_HEALTH_BONUS%."
		"DOTA_Tooltip_modifier_green_dragon_datadriven"                                                   "Rồng xanh"
		"DOTA_Tooltip_modifier_green_dragon_datadriven_Description"                                       "Phạm vi tấn công: %dMODIFIER_PROPERTY_ATTACK_RANGE_BONUS%.Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_hardened_skin"                                                             "Da cứng"
		"DOTA_Tooltip_modifier_hardened_skin_Description"                                                 "Thiệt hại nhận được: %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_healing_ward_datadriven"                                                   "Phường chữa bệnh"
		"DOTA_Tooltip_modifier_healing_ward_datadriven_Description"                                       "Phục hồi sức khỏe: %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% + %fMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% máu tối đa = %fMODIFIER_PROPERTY_TOOLTIP% sức khỏe mỗi giây."
		"DOTA_Tooltip_modifier_healing_ward2_datadriven"                                                  "Phường chữa bệnh lớn hơn"
		"DOTA_Tooltip_modifier_healing_ward2_datadriven_Description"                                      "Phục hồi sức khỏe: %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% + %fMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% máu tối đa = %fMODIFIER_PROPERTY_TOOLTIP% sức khỏe mỗi giây."
		"DOTA_Tooltip_modifier_heat_seeking_daggers"                                                      "Dao găm tìm nhiệt"
		"DOTA_Tooltip_modifier_heat_seeking_daggers_Description"                                          "Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_holdout_guardian_angel_buff"                                               "Đôi cánh toàn tri"
		"DOTA_Tooltip_modifier_holdout_guardian_angel_buff_Description"                                   "Tuyệt đối không có sát thương vật lý: %dMODIFIER_PROPERTY_ABSOLUTE_NO_DAMAGE_PHYSICAL%.Phục hồi sức khỏe: %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%."
		"DOTA_Tooltip_modifier_holdout_wukong_army_buff"                                                  "Quân đội của Tôn Ngộ Không"
		"DOTA_Tooltip_modifier_holdout_wukong_army_buff_Description"                                      "Tuyệt đối không có sát thương vật lý: %dMODIFIER_PROPERTY_ABSOLUTE_NO_DAMAGE_PHYSICAL%.Phục hồi sức khỏe: %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%."
		"DOTA_Tooltip_modifier_howl_of_terror"                                                            "Tiếng hú khủng bố"
		"DOTA_Tooltip_modifier_howl_of_terror_Description"                                                "Giáp: %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.Thiệt hại gây ra: %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_imba_frostmourne_buff"                                                     "Băng Giá Trái Tim"
		"DOTA_Tooltip_modifier_imba_frostmourne_buff_Description"                                         "Tốc độ tấn công: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_imba_frostmourne_buff_base"                                                "Imba Cơ sở buff Frostmourne"
		"DOTA_Tooltip_modifier_imba_frostmourne_buff_base_Description"                                    "Tốc độ di chuyển: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%.Tốc độ tấn công: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_imba_purification_passive"                                                 "Imba thanh lọc"
		"DOTA_Tooltip_modifier_imba_purification_passive_Description"                                     "Sức khỏe tối thiểu: %dMODIFIER_PROPERTY_MIN_HEALTH%."
		"DOTA_Tooltip_modifier_inner_fire"                                                                "Lửa bên trong"
